Model           ,loss    ,Dataset     ,Epoch ,accuracy            ,precision           ,sensitivity         ,specificity          ,f1_score            ,meaniou              ,fwiou                ,iou                 ,dice                ,hd
unet++          ,BCE     ,driveEye    ,40    ,0.964339343412423   ,0.8534698434221284  ,0.7273422280294425  ,0.9875456193480943   ,0.7799441912730284  ,0.8012999392847551   ,0.9336314441192319   ,0.640679306877631   ,0.7799446844675326  ,7.635069818163086
Attention_UNet  ,BCE     ,driveEye    ,40    ,0.962471667631173   ,0.8650699575970359  ,0.6877135102886767  ,0.9893804021873459   ,0.7592477320115268  ,0.7880861094855056   ,0.9296743805245529   ,0.6160587508216517  ,0.7592482199829533  ,7.586016722790499
fcn32s          ,BCE     ,driveEye    ,40    ,0.9131843472704476  ,0.5191722328189384  ,0.5267216475271275  ,0.9504296415164928   ,0.5131243493672156  ,0.6273675090436707   ,0.8593751721367623   ,0.34588142701681945 ,0.5131248397972601  ,11.2831105065078
myChannelUnet   ,BCE     ,driveEye    ,40    ,0.9601139021508486  ,0.8066469871861461  ,0.735257642070368   ,0.9821283473714326   ,0.7616023455547276  ,0.7873849458878304   ,0.9274226352476644   ,0.6173863150230294  ,0.7616028390914571  ,7.969434724777466
cenet           ,BCE     ,driveEye    ,40    ,0.9571002724729937  ,0.7289265141966049  ,0.8259082429229915  ,0.9699965237260028   ,0.7714825953714023  ,0.7909574649498433   ,0.9251322763020651   ,0.6281884026341646  ,0.771483091566046   ,8.28313900844354
Lite_RASPP      ,BCE     ,driveEye    ,40    ,0.9150114836516204  ,0.5435917812204967  ,0.26443759305487224 ,0.977703298529921    ,0.342982967355632   ,0.5616331317002236   ,0.8511901039916238   ,0.21032681882919585 ,0.34298338697177855 ,9.216668717893654
res2net         ,BCE     ,driveEye    ,40    ,0.9335262345679013  ,0.7134159910467759  ,0.44629613829725023 ,0.9808281441580059   ,0.5348648187194293  ,0.6492345911312902   ,0.881270796822211    ,0.36766670968392134 ,0.5348652786256834  ,8.726502335385613
design_one      ,ACELoss ,driveEye    ,40    ,0.08816520785108023 ,0.08816520785081451 ,1.0                 ,0.0                  ,0.16193963108781267 ,0.044082603925407256 ,0.007840059685136572 ,0.08816520785108023 ,0.16193977981998997 ,20.623066104751224
UNet            ,BCE     ,esophagus   ,40    ,0.9156003707627136  ,0.5014664045884556  ,0.46440582118566914 ,0.957808437830861    ,0.42104624424388837 ,0.604795659236746    ,0.8695881997720387   ,0.2981449942350548  ,0.4210466503135932  ,3.991501265566062
design_one      ,BCE     ,isbicell    ,40    ,0.9120680491129557  ,0.9374075672108287  ,0.9512254339498888  ,0.7687285947739134   ,0.9441238777796214  ,0.7756057032252808   ,0.8442176178844442   ,0.8950011230989512  ,0.9441243776788987  ,10.19712759696961
design_one      ,ACELoss ,liver       ,40    ,0.9902532577514649  ,0.9833914267598205  ,0.8748470238539477  ,0.9986461010936862   ,0.9256203463427344  ,0.9256965952914358   ,0.980782447655761    ,0.8618472471334033  ,0.9256208444819782  ,4.618247643657696
UNet            ,BCE     ,liver       ,40    ,0.9978083857783565  ,0.975807787000719   ,0.996577947590079   ,0.9978505435459661   ,0.9860687736316839  ,0.9850590301265028   ,0.9956705673209957   ,0.9725469915422409  ,0.9860692735919496  ,3.0616577422717928
unet++          ,BCE     ,liver       ,40    ,0.9974253713348764  ,0.971417629010003   ,0.9963186318644205  ,0.9974665377668854   ,0.983663911735276   ,0.9825386972880524   ,0.9949308580397032   ,0.9679284008969802  ,0.983664411653996   ,3.2473433366450912
Attention_UNet  ,BCE     ,liver       ,40    ,0.9977826404963992  ,0.9775428195526807  ,0.9957353303871208  ,0.9979442846915658   ,0.9865403603441296  ,0.9855052970694077   ,0.995616665443355    ,0.973456909927653   ,0.9865408603148793  ,3.180546288865871
design_one      ,hybrid  ,liver       ,40    ,0.9976813817010214  ,0.9839248101859035  ,0.9868987888139025  ,0.9986979954406726   ,0.9853702156390256  ,0.9843239898507554   ,0.9954022552733193   ,0.9711992856658921  ,0.9853707156387339  ,3.660493551452034
fcn32s          ,BCE     ,liver       ,40    ,0.9968492798353908  ,0.9643486690392087  ,0.9974578678921963  ,0.9967638035154054   ,0.9805833667727415  ,0.9792500602895513   ,0.9938138544999935   ,0.9619739151327302  ,0.9805838666294286  ,3.964565156044733
cenet           ,BCE     ,liver       ,40    ,0.9979568113655569  ,0.9796869463389763  ,0.9958609684629022  ,0.998100749290992    ,0.9876933273299985  ,0.986722163556412    ,0.9959572218041576   ,0.9756999797351137  ,0.9876938273100596  ,3.2199186267079614

design_one      ,hybrid  ,lung        ,40    ,0.8986761348081473  ,0.9578454312661225  ,0.1373523421402938  ,1.0                  ,0.2280295902434276  ,0.5171397029343178   ,0.8114989762223894   ,0.1373523421402938  ,0.2280297809643191  ,3.5570434594364597
UNet            ,hybrid  ,lung        ,40    ,0.9966337223997629  ,0.9890560553962191  ,0.9587132944065032  ,0.9990168706718552   ,0.9724468611350379  ,0.9726386056738179   ,0.9933137548960616   ,0.9491610774969604  ,0.9724473602943585  ,4.21105666114787
unet++          ,BCE     ,lung        ,40    ,0.9955807082089391  ,0.9468283333316273  ,0.9942012853582765  ,0.995295012704557    ,0.9686197865592452  ,0.9683914184968407   ,0.9913762188440826   ,0.9419037791889813  ,0.968620285425348   ,4.395967046619531
cenet           ,hybrid  ,liver       ,40    ,0.9976429880401234  ,0.9800084352318288  ,0.9979670722977809  ,0.9976048590033384   ,0.9889057278611759  ,0.987711105095029    ,0.9953335661651699   ,0.9780558985295769  ,0.9889062278337353  ,3.605551275463989
